Account Name,Account Number,Account Type,National Account,Brand,Branch,Main Phone,Account Executive,Last Billed On,Address 1: Street 1,Address 1: Street 2,Address 1: City,Address 1: ZIP/Postal Code
"GEODIS/Beeline/Edwardsville, IL",722771,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Jacob Taylor,10/11/20,349 Gateway Commerce Center Dr East,,Edwardsville,62025
"GEODIS/Beeline/Edwardsville,IL",695911,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",8005260650,Matt Biehl,2/5/23,4015 Lakeview Corporate Dr,St Louis IL Campus,Hartford,62048
Geodis/Beeline/EdwardsvilleIL,695896,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6185124529,Matt Biehl,2/5/23,"349 Gateway Commerce Center Drive
St Louis IL Campus
St Louis IL Campus",St Louis IL Campus,Edwardsville,62025
"Geodis/Beeline/H&G/Edwardsville,IL",695910,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6187977065,Matt Biehl,2/5/23,"21 Gateway Commerce Center Dr
St Louis IL Campus
St Louis IL Campus
St Louis IL Campus
St Louis IL Campus
St Louis IL Campus",St Louis IL Campus,Edwardsville,62025
"GEODIS/Beeline/Imagination Books/Granite City, IL",780873,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6188234054,Jacob Taylor,12/10/23,119 Industrial Drive,,Granite City,62040
GEODIS/Beeline/Madison IL,781385,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6187796955,Jacob Taylor,10/13/24,1750 Wayne Lanter Avenue,,Madison,62060
"Geodis/Beeline/Trenton,IL",722603,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,,7714 Commercial Dr,,Troy,62294
"GEODIS/Beeline/WF Young/Edwardsville, IL",799178,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Jacob Taylor,11/2/25,18 Gateway Commerce Center Drive East,,Edwardsville,62025
Geodis/Beeline/Yazaki/Edwardsv,734744,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Jacob Taylor,6/23/24,14 Gateway Commerce Center Drive,St Louis Campus,Edwardsville,62025
"Geodis/Kohls/Edwardsville, IL",699059,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,,,,Edwardsville,62025
Geodis/Nutrisystem,722529,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,,7714 Commercial Dr,,Troy,62294
Impact Strategies,707405,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6183948400,Craig Carmody,,340 Office Ct,,Fairview Heights,62208
Interco/Madison IL,708989,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6187989500,Craig Carmody,,"10 Fox Industrial Dr,",,Madison,62060
"Magnit/Americold/Fairmont City, IL",796835,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6182272595,Cody Hale,10/5/25,34 Fairmont City Boulevard,,East Saint Louis,62201
Masa Milling,793327,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6186814386,Cody Hale,,1703 Wolf Industrial Dr,,Greenville,62246
Menasha/IQN/Edwardsville IL,735514,Prospect,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,,#9 Gateway Commerce Center Drive,P1675PRO9G – 9G Edwardsville (Unilever),Edwardsville,62025
Menasha/IQN/Edwardsville IL-9G,695903,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(618) 501-6060,Matt Biehl,11/26/23,#9 Gateway Commerce Center Drive,P1675PRO9G – 9G Edwardsville (Unilever),Edwardsville,62025
"Menasha/IQN/Roxana, IL",722777,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,7/19/20,21 Gateway Commerce Center Dr W,,Roxana,62084
Midwest Blow Molding,792918,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6182839223,Cody Hale,,1111 Imco Drive,,Vandalia,62471
MidWest Nonwovens,791782,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6183379662,Austin Pesek,,1642 Sauget Business Blvd.,,East Saint Louis,62206
P & G distribution/Edwardsville,698463,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Craig Carmody,,3 Gateway Commerce Center Dr W,,Edwardsville,62025
Peco Pallet,784649,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",(914) 376-5444,House Account,11/9/25,5710 Inner Park Drive,,Edwardsville,62025
Peoplescout/Reyes/Martin-Brower/Lebanon,766051,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",8472276500,Matt Biehl,,720 West McAllister Street,,Lebanon,62254
Phillips 66,723627,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,,,,Edwardsville,62026
PLX Edwardsville Light Duty Non AR,697419,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Kristina Hawley,7/9/23,3429 Nameoki Rd,,Granite City,62040
Poly-Pak,793069,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6182832397,Cody Hale,,2021 Illini Ave,,Vandalia,62471
Quality Packaging Specialist International,695904,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6182199846,House Account,3/20/22,"1200 Tradeport parkway
Suite 100",Suite 100,Granite City,62040
RELAM Inc.,793151,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6184510072,Jacob Taylor,,1900 Missouri Avenue,,Granite City,62040
Roesch,799543,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",(618) 233-2760,Austin Pesek,11/9/25,100 N 24th St,,Belleville,62226
Ryder/SMTK/Edwardsville IL/UPG,733639,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",3055003726,Jacob Taylor,2/26/23,"4015 Lakeview Corporate Dr,",,Hartford,62048
"Ryder/VNDLY/Spectrum Pet Care/Edwardsville, IL",798764,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Jacob Taylor,11/9/25,4015 Lakeview Corporate Drive,,Edwardsville,62025
Sun Basket Inc.,695906,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",(618) 704-7136,House Account,6/10/19,1429 Boulder Blvd,,Valmeyer,62295
Supplied Energy,792839,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Cody Hale,,507 Monroe Street,,Greenville,62246
"SVMS/SQ/Aveon/Pontoon Beach, IL",800078,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(618) 555-5555,Jacob Taylor,10/19/25,1201 Tradeport Parkway,,Granite City,62040
"Syncreon/Edwardsville, IL",695902,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,House Account,3/7/21,14 Gateway Commerce Center Drive,PO 4800010451,Edwardsville,62025
TalentCode/Yazaki NA,695905,Prospect,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,10/3/21,6801 Haggerty Road,,Canton,48187
"Tapfin/Heinz/Granite City, IL",773197,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(800) 255-5750,House Account,11/9/25,2901 Missouri Ave,,Granite City,62040
The Messenger Co,792544,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6189181205,Cody Hale,,1791 Samuel W Andrews Drive,,Greenville,62246
TK SCS/EDWS/Edwardsville IL,794865,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(901) 316-6452,Jacob Taylor,6/29/25,3919 Lakeview Corporate Drive,,Edwardsville,62025
Tranter,795081,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",2172273470,Kevin Stangle,,30241 E Frontage Rd,,Farmersville,62533
United Pet Group EDW,695907,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6182513500,Matt Biehl,6/26/22,4015 Corporate Lakeview Drive,,Edwardsville,62025
Walgreens Distribution Center,695908,Prospect,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6182193670,House Account,1/21/24,200 Wilmot Rd,,Deerfield,60015
Westrock,749424,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6187971190,Matt Biehl,3/20/22,1 Gateway Commerce Center Drive West,,Edwardsville,62025
Westrock/Edwardsville/Dial,695909,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6187971190,Craig Carmody,6/13/21,1 Gateway Commerce Center Drive.,W. Ste. B,Edwardsville,62025
Woolpert,707913,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6186327004,Craig Carmody,,343 Fountains Pkwy Suite 100,,Fairview Heights,62208
Zurcher Tire Inc,793214,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",8003323544,Cody Hale,,2085 Wagner Street,,Vandalia,62471
1435 Rail,723628,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",,Matt Biehl,,1900 Missouri Ave,,Granite City,62040
Afton Chemical Corp,705231,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6185831000,Craig Carmody,,501 Monsanto Ave,,East Saint Louis,62206
Air Products & Chemicals Inc,705952,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",,Craig Carmody,,35 Northgate Industrial Dr,,Granite City,62040
Airco Service Co,705208,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6186678977,Craig Carmody,,3131 Starlight Ln,,Edwardsville,62025
AMK Heating & Cooling,705162,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6186564116,Craig Carmody,,7067 Marine Rd,,Edwardsville,62025
Baily International,586545,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",(618) 451-8878,Matt Biehl,,2501 W 20th St,,Granite City,62040
BCL Restaurant Supply,705220,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182744112,Craig Carmody,,1401 Mississippi Ave Bay 6,,East Saint Louis,62201
Becker Iron & Metal,705381,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",3143823800,Craig Carmody,,1310 Broadway,,Venice,62090
Beeline/KDP/Springfield,787946,Customer,Yes,ResourceMFG,"Edwardsville, IL (RMFG)",(810) 247-2493,Isabel Diefenbach,2/19/24,4600 Industrial Drive,,Springfield,62703
Brandon Iron Holdings,707268,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6183378400,Craig Carmody,,1682 Sauget Business Blvd,,East Saint Louis,62206
Central Rubber Extrusions,799963,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6186541171,Austin Pesek,,193 Woodcrest Drive,,Highland,62249
Container Distributors Inc,705389,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",8003665098,Craig Carmody,,1200 Bissell St,,Venice,62090
Dyno Manufacturing,706117,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6187097700,Craig Carmody,,2 Fox Industrial Dr,,Madison,62060
Dyno MFG Co,705210,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6187097700,Craig Carmody,,2 Fox Industrial Dr,,Bethalto,62010
Eagle Marine Industries,706263,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6188751153,Craig Carmody,,1 Riverview Ave,,East Saint Louis,62201
Eastman Chemical Company,706252,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182715835,Craig Carmody,,500 Monsanto Ave,,East Saint Louis,62206
Eaton,722530,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",,Matt Biehl,,815 Lyons Dr,,Troy,62294
Elite Tool & Manufacturing,707905,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182361580,Craig Carmody,,122 Industrial Dr,,Belleville,62220
"Environmental Operations, Inc,",773684,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",6184828853,Matt Biehl,,1200 N 1st St,,East Saint Louis,62201
"Environmental Operations, Inc.",721565,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",(314) 241-0900,Will Skowyra,11/18/19,1530 South 2nd St,STE 200,Saint Louis,63104
Excel Food Distribution,705204,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182885143,Craig Carmody,,5042 IL-162,,Granite City,62040
Feed Products & Service Company,721564,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",3148437300,Will Skowyra,4/18/21,1024 Eagle Park Road,,Madison,62060
"Friedman Industries, Inc.",664054,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",6188762811,Cody Hale,5/14/23,2325 North St,,Granite City,62040
Frito Lay/Granite City,705213,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6187971131,Craig Carmody,,3473 State Route 111,,Granite City,62040
H& S Machine,706938,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6184510164,Craig Carmody,,35 Central Industrial Dr,,Granite City,62040
Headco Industries,705211,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6184620063,Craig Carmody,,Po Box 728,,Alton,62002
Illinois American Water,707909,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",8004222782,Craig Carmody,,300 N Water Works Dr,,Belleville,62223
ITW Building Components/Alpine,742817,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",,Cody Hale,,7 Skyview Dr,,Litchfield,62056
Kettler Casting,800027,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182345303,Austin Pesek,,2640 Old Freeburg Rd.,,Belleville,62220
King’s Food Products,778228,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182330400,Matt Biehl,2/18/24,3 Amann Court,,Belleville,62220
Magnesium Elektron,705559,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6184525190,Craig Carmody,,1001 College St,,Madison,62060
Mattingly Lumber & Millwork,695921,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6363433877,Cody Hale,11/3/19,410 E Street,,Granite City,62040
MB Steel,705372,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6188777000,Craig Carmody,,9 Fox Industrial Dr,,Madison,62060
Mc Junkin Red Man Corp.,706860,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6187972900,Craig Carmody,,3672 IL-111,,Granite City,62040
Midwest Belltone,706859,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6186244471,Craig Carmody,,1415 W Hwy 50,,O Fallon,62269
Nesco/HUBS/Freeburg IL,754858,Customer,Yes,ResourceMFG,"Edwardsville, IL (RMFG)",4758824000,Angela Fonner,11/3/24,501 W Apple Street,,Freeburg,62243
Newssor Industries,706413,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182591174,Craig Carmody,,302 Dry St,,East Alton,62024
O'Brien Steel,784385,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",(309) 671-5800,Cody Hale,8/17/25,10 Washington Avenue,,Madison,62060
Old Castle,782320,Customer,Yes,ResourceMFG,"Edwardsville, IL (RMFG)",6182741222,Cody Hale,,1130 Queeny Avenue,,East Saint Louis,62206
"Packaging Corporation of America/ Trenton, IL",788432,Customer,Yes,ResourceMFG,"Edwardsville, IL (RMFG)",(618) 210-8009,Matt Biehl,1/5/25,11620 Old U.S. Highway 50,,Trenton,62293
Precoat Metals,781184,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",6184510909,Jacob Taylor,,25 Northgate Industrial Dr,,Granite City,62040
ProAmpac,695920,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6184510010,Matt Biehl,5/30/21,20 Central Industrial Dr,,Granite City,62040
Siemens Manufacturing,769922,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",6185393000,Matt Biehl,3/26/23,410 W Washington St,,Freeburg,62243
Sligo Steel,705375,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",3142313050,Craig Carmody,,10 Washington Ave,,Madison,62060
Solutia,705238,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182715835,Craig Carmody,,400-498 Monsanto Ave,,East Saint Louis,62206
Solvay Fluorides,707912,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182740755,Craig Carmody,,3500 Missouri Ave,,East Saint Louis,62205
Stellar Manufacturing,790166,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",6183371700,Jacob Taylor,,1647 Sauget Business Blvd.,,East Saint Louis,62206
TerraSource Global,707906,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",8554837721,Craig Carmody,,1 Freedom Dr,,Belleville,62226
The Miller Group,799858,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",3146815063,Austin Pesek,,1610 Design Way,,Dupo,62239
Troy foods,705209,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6186676332,Craig Carmody,,404 US-40,,Troy,62294
Ultra Play,798829,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6189737261,Austin Pesek,,1675 Locust Street,,Red Bud,62278
Veolia Environmental Services,706276,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6182712804,Craig Carmody,,7 Mobile St,,East Saint Louis,62201
Vertex Chemical Corporation,700700,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",,Matt Biehl,,3101 Carondelet Ave,,Dupo,62239
Walters Metal Fabrication,706862,Prospect,No,ResourceMFG,"Edwardsville, IL (RMFG)",6189315551,Craig Carmody,,3660 IL-111,,Granite City,62040
"Whitecap/Vector/Collinsville, IL",755215,Customer,Yes,ResourceMFG,"Edwardsville, IL (RMFG)",4048797740,Matt Biehl,8/21/22,375 Park Avenue,,New York,10022
Worksaver,769102,Customer,No,ResourceMFG,"Edwardsville, IL (RMFG)",2173245973,Matt Biehl,5/7/23,9 Worksavers Trail,,Litchfield,62056
A Sound and Video Co. LLC,730077,Prospect,No,ResourceMFG,"Fenton, MO - RMFG",6362258806,Cynthia Carr,,"711 Meramec Station Road,",,Valley Park,63088
A&K Index LLC,721486,Customer,No,ResourceMFG,"Fenton, MO - RMFG",6363059199,Will Skowyra,2/10/20,1450 South Vandeventer Ave,,Saint Louis,63110
AB Mauri,715412,Prospect,No,ResourceMFG,"Fenton, MO - RMFG",3143920800,Cynthia Carr,,4240 Duncan Ave #150,,Saint Louis,63110
ABC Supply,706212,Prospect,No,ResourceMFG,"Fenton, MO - RMFG",6369379150,Cynthia Carr,,1538 Herculaneum Ind Dr.,,Herculaneum,63048
Accent Group Solutions,721490,Customer,No,ResourceMFG,"Fenton, MO - RMFG",3149655388,House Account,12/13/20,1154 Reco Avenue,,Saint Louis,63126
ACI Plastics,798765,Customer,No,ResourceMFG,"Fenton, MO - RMFG",3145346503,Austin Pesek,11/9/25,3001 Spruce St.,,Saint Louis,63103
Acid Piping Technology,732583,Customer,No,ResourceMFG,"Fenton, MO - RMFG",6362964668,Angela Fonner,11/21/21,2890 Arnold Tenbrook,,Arnold,63010
AG INDUSTRIES,704718,Customer,No,Westaff,"Fenton, MO - RMFG",(636) 349-4466,Sherry Heberlie,11/11/19,3637 SCARLETT OAK BLVD,,ST. LOUIS,63122
Agraform,735621,Customer,No,ResourceMFG,"Fenton, MO - RMFG",3143535325,Austin Pesek,3/27/22,133 East Krauss St.,,Saint Louis,63111
Alkem Laboratories,726928,Prospect,No,ResourceMFG,"Fenton, MO - RMFG",6363435664,Cynthia Carr,,1733 Gilsinn,,Fenton,63026
Alkem Laboratories,700316,Customer,No,ResourceMFG,"Fenton, MO - RMFG",6363435664,Cynthia Carr,10/17/21,1733 Gilsinn Ln,,Fenton,63026
Allegis/ABB/St. Louis MO,776624,Customer,Yes,ResourceMFG,"Fenton, MO - RMFG",(636) 825-6916,Angela Fonner,11/9/25,3560 Scarlet Oak Blvd.,,Saint Louis,63122
Allied Healthcare,638363,Customer,No,Westaff,"Fenton, MO - RMFG",3147712400,Cynthia Carr,5/17/20,1720 Sublette Ave,,Saint Louis,63110
American Metals Supply,709423,Prospect,No,ResourceMFG,"Fenton, MO - RMFG",,Cynthia Carr,,,,Fenton,63026
American Pulverizer Co.,753257,Customer,No,ResourceMFG,"Fenton, MO - RMFG",3147816100,Angela Fonner,7/17/22,1319 Macklind Avenue,,Saint Louis,63110
American Spotting Co. of Missouri,721498,Customer,No,ResourceMFG,"Fenton, MO - RMFG",3148436455,Fred Hamberg,9/13/20,10009 Office Center Ave,Suite 200,Saint Louis,63128
American Steel Fabrication,706205,Prospect,No,ResourceMFG,"Fenton, MO - RMFG",6364757272,Cynthia Carr,,1109 Mason Cir.,,Pevely,63070
